datetime,ts,P,E,I,V,PF
2020-01-26 12:00,1580040000,300.65518188477,300.69154213072,2.1080521345139,216.82474517822,0.65785175561905
2020-01-26 13:00,1580043600,301.99487304688,301.95660335245,2.1197868585587,218.12714385986,0.65308430790901
2020-01-26 14:00,1580047200,302.86047363281,302.94648684625,2.120187163353,218.01899719238,0.65515288710594
2020-01-26 15:00,1580050800,300.96539306641,300.92473755119,2.1161216497421,218.40782165527,0.65114450454712
2020-01-26 16:00,1580054400,228.04991912842,228.00773435278,1.46038377285,216.94095611572,0.76789572834969
2020-01-26 17:00,1580058000,308.46862792969,308.31605567131,2.1173297166824,215.89956665039,0.67459750175476
2020-01-26 18:00,1580061600,312.59297180176,312.82080245513,2.1385269165039,216.41077423096,0.67530423402786
2020-01-26 19:00,1580065200,307.60960388184,307.58131254354,2.1241213083267,217.28205871582,0.66631552577019
2020-01-26 20:00,1580068800,310.37358093262,310.37365203386,2.1605734825134,220.14595794678,0.65245172381401
2020-01-26 21:00,1580072400,282.21454620361,282.21817687585,1.9695498347282,219.98066711426,0.64768821001053
2020-01-26 22:00,1580076000,91.273771286011,92.084384824382,0.62412624061108,219.2781829834,0.042259454727173
2020-01-26 23:00,1580079600,-0.56074669957161,0.051894515811,0.0093006798997521,221.46488952637,-0.33714413642883
2020-01-27 00:00,1580083200,-1.1865797042847,0.0,0.0072837152983993,220.37638092041,-0.74060636758804
2020-01-27 01:00,1580086800,-0.64271405339241,0.0,0.0049822127912194,220.75813293457,-0.49112941324711
2020-01-27 02:00,1580090400,-0.74448668956757,0.0,0.0049534051213413,221.83498382568,-0.60114449262619
2020-01-27 03:00,1580094000,-0.77114337682724,0.0,0.0046962194610387,222.63571166992,-0.6800385415554
2020-01-27 04:00,1580097600,-0.93266066908836,0.0,0.005546017549932,221.00402832031,-0.72748398780823
2020-01-27 05:00,1580101200,-1.5025397837162,0.0,0.0086752255447209,220.17404937744,-0.71537271142006
2020-01-27 06:00,1580104800,-1.2497062683105,0.0,0.0090508265420794,222.55303192139,-0.60443046689034
2020-01-27 07:00,1580108400,277.33670043945,277.56611348887,1.8207185864449,221.78360748291,0.43687075376511
2020-01-27 08:00,1580112000,312.27793884277,312.5073628971,2.1612634658813,220.64633178711,0.65486022830009
2020-01-27 09:00,1580115600,299.52735900879,299.55142626964,2.1026922464371,217.73880004883,0.654242426157
2020-01-27 10:00,1580119200,300.06396484375,299.90881745907,2.113464474678,218.64628601074,0.64941188693047
2020-01-27 11:00,1580122800,299.88441467285,299.9214998883,2.1123230457306,218.01723480225,0.65124523639679
2020-01-27 12:00,1580126400,301.7186126709,301.67429471557,2.1156566143036,217.99015045166,0.65422663092613
2020-01-27 13:00,1580130000,229.38301849365,229.32454187714,1.4512521624565,217.44049072266,0.77539303898811
2020-01-27 14:00,1580133600,304.79393005371,304.8114334438,2.1259989738464,218.90047454834,0.65500766038895
2020-01-27 15:00,1580137200,300.97415161133,300.92554068373,2.1236705780029,219.03092956543,0.64712485671043
2020-01-27 16:00,1580140800,303.59725952148,303.61323197919,2.149082660675,220.63177490234,0.64022949337959
2020-01-27 17:00,1580144400,304.55026245117,304.35092752019,2.1458233594894,220.21150970459,0.6443333029747
2020-01-27 18:00,1580148000,300.34637451172,300.32958402397,2.1138451099396,218.65760040283,0.64988365769386
2020-01-27 19:00,1580151600,241.6752166748,241.8372065883,1.6053613424301,219.75414276123,0.73330175876617
2020-01-27 20:00,1580155200,282.23399353027,282.26745679026,1.9072939753532,220.34811401367,0.68628385663033
2020-01-27 21:00,1580158800,310.94718933105,310.80208450521,2.165230512619,221.10767364502,0.64947408437729
2020-01-27 22:00,1580162400,42.647793471813,42.185011364869,0.30003363452852,218.77221679688,0.46214415132999
2020-01-27 23:00,1580166000,-0.9079627096653,0.0,0.011385314166546,221.75003051758,-0.35096499323845
2020-01-28 00:00,1580169600,-1.0192355215549,0.0,0.0076669014524668,221.68171691895,-0.58594420552254
2020-01-28 01:00,1580173200,-0.61192478239536,0.0,0.0060865245759487,222.50316619873,-0.41232973337173
